



PackedCounter SampleTimeFine UTC_Nano UTC_Year UTC_Month UTC_Day UTC_Hour UTC_Minute UTC_Second UTC_Valid StatusWord RSSI Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z  VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Pressure Roll Pitch Yaw Latitude Longitude Altitude calibacc0 calibacc1 calibacc2 calimgf0 calimgf1 calimgf2 
57699 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 10.3555 -0.0492797 -0.0344236 1.65232e-14 6.09864e-16 0.542934 -0.431292 0.295767 0.432327 -0.905518 -0.241211 -0.0090332 0.103555 -0.000269911 -0.000496635 0.999994 -0.00215646 0.00147883 0.00216163 NaN  -151.477 -89.6873 -122.795 NaN NaN NaN 10.3555 -0.0492797 -0.0344236 -0.905518 -0.241211 -0.0090332 
57700 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 10.0401 -0.347521 -0.238787 -6.28837e-15 1.46638e-15 0.236243 -0.657834 0.429751 0.462305 -0.907715 -0.237061 -0.00878906 0.100403 -0.00325143 -0.00259267 0.99999 -0.00328916 0.00214875 0.00231152 97216 -128.569 -87.6282 -149.435 NaN NaN NaN 10.0401 -0.347521 -0.238787 -0.907715 -0.237061 -0.00878906 
57701 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 8.97798 -0.659606 0.0249447 0.478608 -0.22151 -0.825945 -0.783699 0.359286 0.456812 -0.907959 -0.23291 -0.0131836 0.0897949 -0.00639035 0.000113455 0.999988 -0.00391848 0.00179642 0.00228405 NaN  -123.658 -88.6479 -153.982 NaN NaN NaN 8.97798 -0.659606 0.0249447 -0.907959 -0.23291 -0.0131836 
57702 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -53 9.20838 -0.807191 -0.54312 0.659863 0.345245 -0.583057 -0.773804 0.227167 0.436445 -0.909912 -0.234863 -0.0200195 0.0920949 -0.00789215 -0.00550503 0.999989 -0.003869 0.00113583 0.00218222 97213 -114.657 -88.4924 -163.43 NaN NaN NaN 9.20838 -0.807191 -0.54312 -0.909912 -0.234863 -0.0200195 
57703 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -53 9.61199 -0.789256 -0.648205 0.616766 0.454838 -0.177025 -0.656345 0.305399 0.373257 -0.910156 -0.226562 -0.0197754 0.0961244 -0.0077347 -0.00660328 0.999992 -0.00328171 0.00152699 0.00186628 NaN  -110.092 -88.3408 -168.346 NaN NaN NaN 9.61199 -0.789256 -0.648205 -0.910156 -0.226562 -0.0197754 
57704 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -53 9.49487 -0.714732 0.14323 0.407758 -0.282918 -0.30283 -0.432594 0.405955 0.234451 -0.910156 -0.228516 -0.0244141 0.0949596 -0.00703317 0.00125486 0.999995 -0.00216297 0.00202977 0.00117225 97208 -101.517 -88.2747 -177.172 NaN NaN NaN 9.49487 -0.714732 0.14323 -0.910156 -0.228516 -0.0244141 
57705 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -52 9.02878 -0.428726 0.288709 0.0930562 -0.361321 -0.776831 -0.43266 0.358237 0.230453 -0.912354 -0.224365 -0.03125 0.0902976 -0.0041772 0.00273447 0.999995 -0.0021633 0.00179118 0.00115226 NaN  -97.5313 -88.1329 178.609 NaN NaN NaN 9.02878 -0.428726 0.288709 -0.912354 -0.224365 -0.03125 
57706 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -52 10.1877 -1.16042 -0.611688 0.900797 0.450077 0.409658 -0.31542 0.354602 0.227657 -0.912354 -0.224365 -0.0356445 0.101879 -0.0114981 -0.00627932 0.999997 -0.0015771 0.00177301 0.00113829 97206 -91.3785 -88.0185 172.272 NaN NaN NaN 10.1877 -1.16042 -0.611688 -0.912354 -0.224365 -0.0356445 
57707 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -53 10.7749 -1.66964 -0.37625 1.32317 0.18583 1.01513 -0.254837 0.553102 0.153011 -0.916748 -0.219971 -0.046875 0.107751 -0.016619 -0.00403927 0.999995 -0.00127418 0.00276551 0.000765053 NaN  -83.1784 -87.8553 163.905 NaN NaN NaN 10.7749 -1.66964 -0.37625 -0.916748 -0.219971 -0.046875 
57708 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -52 9.97995 -2.08359 0.274761 1.65186 -0.48043 0.240005 -0.21625 0.490848 0.0656907 -0.912598 -0.217773 -0.0444336 0.0998127 -0.0208003 0.00252516 0.999996 -0.00108125 0.00245424 0.000328453 97210 -76.2327 -87.7679 156.831 NaN NaN NaN 9.97995 -2.08359 0.274761 -0.912598 -0.217773 -0.0444336 
57709 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -52 11.1746 -2.01082 -0.135006 1.58582 0.00466762 1.4309 0.0455295 0.376604 -0.143362 -0.912109 -0.226318 -0.0537109 0.111729 -0.020188 -0.00156505 0.999998 0.000227648 0.00188302 -0.000716811 NaN  -71.1584 -87.6294 151.769 NaN NaN NaN 11.1746 -2.01082 -0.135006 -0.912109 -0.226318 -0.0537109 
57710 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -52 11.766 -1.99394 0.131387 1.53418 -0.199808 2.02109 0.288069 0.40758 -0.241401 -0.918701 -0.224121 -0.0515137 0.117638 -0.0200831 0.00104526 0.999996 0.00144035 0.0020379 -0.00120701 97213 -64.4496 -87.6693 145.22 NaN NaN NaN 11.766 -1.99394 0.131387 -0.918701 -0.224121 -0.0515137 
57711 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 10.2985 -2.03512 0.639087 1.53478 -0.697205 0.568415 0.496401 0.238896 -0.201447 -0.914307 -0.228516 -0.0493164 0.102972 -0.0204705 0.00621716 0.999996 0.002482 0.00119448 -0.00100723 NaN  -62.6493 -87.5135 143.709 NaN NaN NaN 10.2985 -2.03512 0.639087 -0.914307 -0.228516 -0.0493164 
57712 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 10.4499 -1.37711 0.0243741 1 0.0263236 0.680053 0.762356 -0.158684 -0.195539 -0.909912 -0.230469 -0.0449219 0.104486 -0.0138743 0.000273891 0.999992 0.00381177 -0.00079342 -0.000977693 97210 -62.9143 -87.6547 144.411 NaN NaN NaN 10.4499 -1.37711 0.0243741 -0.909912 -0.230469 -0.0449219 
57713 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 12.1441 -1.23369 -0.93436 0.895066 1.02565 2.35373 1.13863 -0.268106 -0.0906919 -0.916504 -0.228516 -0.0449219 0.121448 -0.0123391 -0.00925104 0.999983 0.0056931 -0.00134052 -0.000453457 NaN  -68.2708 -87.5413 150.539 NaN NaN NaN 12.1441 -1.23369 -0.93436 -0.916504 -0.228516 -0.0449219 
57714 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 10.9656 -0.806559 -0.857135 0.498529 0.953691 1.1633 1.38477 -0.45484 -0.0436819 -0.905762 -0.230469 -0.0290527 0.109674 -0.00803109 -0.00837762 0.999973 0.00692381 -0.00227418 -0.000218407 97212 -73.1421 -87.6512 156.208 NaN NaN NaN 10.9656 -0.806559 -0.857135 -0.905762 -0.230469 -0.0290527 
