



PackedCounter SampleTimeFine UTC_Nano UTC_Year UTC_Month UTC_Day UTC_Hour UTC_Minute UTC_Second UTC_Valid StatusWord RSSI Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z  VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Pressure Roll Pitch Yaw Latitude Longitude Altitude calibacc0 calibacc1 calibacc2 calimgf0 calimgf1 calimgf2 
58465 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -49 5.19136 -2.97797 6.84237 3.46945e-16 3.46945e-16 -0.722227 -0.105222 -0.297945 -0.0554375 -0.137207 0.273926 -0.723145 0.0518033 -0.029758 0.0685166 0.999999 -0.000526108 -0.00148973 -0.000277188 NaN  -23.4762 -34.7408 5.28798 NaN NaN NaN 5.19136 -2.97797 6.84237 -0.137207 0.273926 -0.723145 
58466 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -49 5.00496 -2.70713 5.89202 0.234235 -0.367186 -1.63318 0.108855 -0.429429 -0.0615431 -0.143555 0.265381 -0.720947 0.0499147 -0.0271187 0.0590127 0.999997 0.000544275 -0.00214715 -0.000307715 97298 -21.3855 -36.2335 1.00418 NaN NaN NaN 5.00496 -2.70713 5.89202 -0.143555 0.265381 -0.720947 
58467 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -50 5.42628 -2.55297 5.26618 0.915622 -0.442185 -1.89683 0.23549 -0.57586 -0.00183818 -0.145752 0.267334 -0.716797 0.0541107 -0.0255923 0.0527877 0.999995 0.00117745 -0.0028793 -9.19088e-06 NaN  -21.3384 -36.5411 1.15226 NaN NaN NaN 5.42628 -2.55297 5.26618 -0.145752 0.267334 -0.716797 
58468 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -50 6.20925 -2.87186 5.05801 1.54773 -0.802144 -1.48522 0.309918 -0.631167 0.0443464 -0.1521 0.263184 -0.7229 0.0619389 -0.0287834 0.0507311 0.999994 0.00154959 -0.00315583 0.000221732 97303 -21.2921 -36.9244 1.36054 NaN NaN NaN 6.20925 -2.87186 5.05801 -0.1521 0.263184 -0.7229 
58469 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -49 6.77187 -3.21493 5.98884 1.35841 -0.802291 -0.34849 0.616603 -0.537177 0.0227842 -0.154053 0.250244 -0.716309 0.0675614 -0.0323264 0.0599705 0.999992 0.00308301 -0.00268588 0.000113921 NaN  -21.0319 -37.2067 1.51504 NaN NaN NaN 6.77187 -3.21493 5.98884 -0.154053 0.250244 -0.716309 
58470 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -49 5.41203 -2.48033 5.52323 0.596698 -0.313091 -1.71987 0.938157 -0.517634 -0.0622174 -0.162598 0.24585 -0.718262 0.0539695 -0.0250792 0.0552549 0.999986 0.00469076 -0.00258816 -0.000311085 97302 -20.8095 -37.8318 1.77601 NaN NaN NaN 5.41203 -2.48033 5.52323 -0.162598 0.24585 -0.718262 
58471 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -49 4.01606 -0.262392 4.38128 0.529548 1.30486 -4.03259 1.31448 -0.942232 -0.13119 -0.166992 0.241699 -0.718262 0.0399518 -0.00293888 0.0439827 0.999967 0.00657235 -0.00471111 -0.000655941 NaN  -20.1492 -38.3638 1.92654 NaN NaN NaN 4.01606 -0.262392 4.38128 -0.166992 0.241699 -0.718262 
58472 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -50 5.05889 0.744356 4.54208 1.29979 2.29541 -3.50257 1.06954 -1.28892 -0.0823273 -0.175293 0.22876 -0.719971 0.0502976 0.00717862 0.0457844 0.999965 0.00534763 -0.00644451 -0.000411632 97303 -19.6985 -39.5592 2.18798 NaN NaN NaN 5.05889 0.744356 4.54208 -0.175293 0.22876 -0.719971 
58473 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -50 7.75802 -1.36168 5.00992 2.60777 0.511907 -0.86414 0.773076 -1.43057 0.18545 -0.17749 0.22876 -0.71582 0.0772321 -0.01374 0.0505995 0.999967 0.00386533 -0.0071528 0.00092724 NaN  -19.5699 -40.2955 2.67763 NaN NaN NaN 7.75802 -1.36168 5.00992 -0.17749 0.22876 -0.71582 
58474 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -49 11.7012 -2.16991 3.35098 6.18543 -0.706003 0.868958 0.640103 -1.07255 0.551935 -0.186035 0.224365 -0.711426 0.11689 -0.0214849 0.0340679 0.999977 0.00320049 -0.00536269 0.00275965 97310 -18.8783 -42.0007 2.8021 NaN NaN NaN 11.7012 -2.16991 3.35098 -0.186035 0.224365 -0.711426 
