



PackedCounter SampleTimeFine UTC_Nano UTC_Year UTC_Month UTC_Day UTC_Hour UTC_Minute UTC_Second UTC_Valid StatusWord RSSI Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z  VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Pressure Roll Pitch Yaw Latitude Longitude Altitude calibacc0 calibacc1 calibacc2 calimgf0 calimgf1 calimgf2 
58465 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 9.27223 -5.89978 -1.95053 -1.73472e-16 3.46945e-15 1.34913 0.204188 0.243713 -0.042634 -0.429199 0.79126 0.0432129 0.0926859 -0.0589976 -0.0196785 0.999999 0.00102094 0.00121857 -0.00021317 NaN  -108.446 -56.1381 26.7667 NaN NaN NaN 9.27223 -5.89978 -1.95053 -0.429199 0.79126 0.0432129 
58466 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -53 10.1727 -5.97158 -0.699158 0.155553 1.51348 1.90556 0.018449 0.533617 -0.0119209 -0.433594 0.797363 0.043457 0.101704 -0.0597212 -0.00726847 0.999996 9.22448e-05 0.00266808 -5.96043e-05 97421 -108.614 -55.9135 27.5741 NaN NaN NaN 10.1727 -5.97158 -0.699158 -0.433594 0.797363 0.043457 
58467 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -53 8.79551 -6.5417 -0.540931 -1.03065 1.21068 1.04638 -0.471828 0.938466 0.0787018 -0.427246 0.793457 0.0393066 0.0879547 -0.0653956 -0.00566773 0.999986 -0.00235913 0.00469231 0.000393507 NaN  -108.107 -56.0401 26.6366 NaN NaN NaN 8.79551 -6.5417 -0.540931 -0.427246 0.793457 0.0393066 
58468 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -52 6.31905 -7.23801 -1.85161 -2.59297 -0.753648 -0.40757 -0.647135 0.776721 0.152603 -0.425049 0.789307 0.0476074 0.0631738 -0.0723919 -0.0185273 0.999987 -0.00323566 0.00388359 0.000763011 97426 -107.808 -56.0941 25.8288 NaN NaN NaN 6.31905 -7.23801 -1.85161 -0.425049 0.789307 0.0476074 
58469 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -52 6.45517 -7.02038 -2.51109 -2.2128 -1.3451 -0.296664 -0.239164 0.3038 0.243655 -0.418701 0.795654 0.0415039 0.064599 -0.0701551 -0.0251251 0.999997 -0.00119582 0.001519 0.00121827 NaN  -107.635 -56.0141 25.4558 NaN NaN NaN 6.45517 -7.02038 -2.51109 -0.418701 0.795654 0.0415039 
58470 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 10.3489 -5.31989 -0.292643 0.796718 1.8209 1.65624 0.197561 0.517838 0.0224254 -0.420654 0.789307 0.0351562 0.103487 -0.0531842 -0.00324692 0.999996 0.000987803 0.00258919 0.000112127 97435 -107.095 -56.0833 24.9409 NaN NaN NaN 10.3489 -5.31989 -0.292643 -0.420654 0.789307 0.0351562 
58471 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 15.3698 -3.36441 4.70283 4.1356 7.81001 4.02774 -0.345686 2.06127 -0.097814 -0.422852 0.793457 0.0351562 0.154155 -0.0336399 0.0454992 0.999945 -0.0017284 0.0103061 -0.000489061 NaN  -105.618 -56.4697 22.9282 NaN NaN NaN 15.3698 -3.36441 4.70283 -0.422852 0.793457 0.0351562 
58472 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -50 8.5179 -4.41593 3.63186 0.0932357 5.01953 -0.866403 -2.86479 3.41563 0.264758 -0.425049 0.79541 0.0581055 0.0858477 -0.0435336 0.0354828 0.999751 -0.0143228 0.0170767 0.00132368 97421 -104.294 -56.8411 19.3901 NaN NaN NaN 8.5179 -4.41593 3.63186 -0.425049 0.79541 0.0581055 
58473 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 -2.94051 -12.3095 -9.82391 -10.9548 -10.3308 -4.34525 -4.77384 1.6427 1.09959 -0.416748 0.79541 0.0810547 -0.0295086 -0.125551 -0.0950195 0.999666 -0.0238665 0.00821258 0.00549735 NaN  -105.402 -56.4733 17.4413 NaN NaN NaN -2.94051 -12.3095 -9.82391 -0.416748 0.79541 0.0810547 
58474 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 -2.39994 -14.5653 -17.8855 -12.3224 -17.6663 -1.22035 -2.36496 -0.902115 0.779787 -0.40625 0.795654 0.0979004 -0.022624 -0.147845 -0.17722 0.999912 -0.0118244 -0.00451044 0.00389882 97424 -107.288 -55.8696 18.0886 NaN NaN NaN -2.39994 -14.5653 -17.8855 -0.40625 0.795654 0.0979004 
