



PackedCounter SampleTimeFine UTC_Nano UTC_Year UTC_Month UTC_Day UTC_Hour UTC_Minute UTC_Second UTC_Valid StatusWord RSSI Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z  VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Pressure Roll Pitch Yaw Latitude Longitude Altitude calibacc0 calibacc1 calibacc2 calimgf0 calimgf1 calimgf2 
4566 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 8.31719 -5.47127 1.17498 -2.60209e-15 -2.94903e-15 0.211835 -0.0510798 -0.0120667 -0.0700314 -0.720947 0.408936 -0.251953 0.083152 -0.0547388 0.0117688 1 -0.000255399 -6.03336e-05 -0.000350157 97430 -77.8662 -56.046 98.4662 NaN NaN NaN 8.31719 -5.47127 1.17498 -0.720947 0.408936 -0.251953 
4567 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 8.75436 -4.62801 0.934167 -3.46945e-16 6.93889e-16 0.133669 0.079922 -0.00360271 -0.066374 -0.723145 0.408936 -0.25415 0.0875281 -0.0463129 0.00932474 1 0.00039961 -1.80135e-05 -0.00033187 NaN  -78.6161 -61.6426 71.2626 NaN NaN NaN 8.75436 -4.62801 0.934167 -0.723145 0.408936 -0.25415 
4568 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 8.16175 -4.31268 0.514756 0.42753 0.483565 -0.589792 0.104384 -0.0396379 -0.0550145 -0.71875 0.402832 -0.25 0.0816046 -0.043152 0.00514122 1 0.00052192 -0.000198189 -0.000275072 97428 -78.1635 -58.8491 84.5504 NaN NaN NaN 8.16175 -4.31268 0.514756 -0.71875 0.402832 -0.25 
4569 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 8.62025 -4.20162 0.693039 0.258376 0.794315 -0.23433 0.0705925 -0.0872486 -0.0469978 -0.720947 0.408936 -0.251953 0.0861896 -0.0420389 0.00695316 1 0.000352962 -0.000436243 -0.000234989 NaN  -78.1949 -58.8856 84.6343 NaN NaN NaN 8.62025 -4.20162 0.693039 -0.720947 0.408936 -0.251953 
4570 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 9.38849 -3.94587 0.719064 0.233398 1.39989 0.297529 0.0899158 -0.0896885 -0.0456744 -0.720947 0.400635 -0.254395 0.0938726 -0.0394833 0.00721499 1 0.000449579 -0.000448442 -0.000228372 97434 -78.2185 -58.9222 84.7219 NaN NaN NaN 9.38849 -3.94587 0.719064 -0.720947 0.400635 -0.254395 
4571 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 9.36892 -3.6231 0.724301 0.182661 1.65868 0.119254 0.0786636 -0.0742101 -0.05575 -0.720947 0.400635 -0.246094 0.0936764 -0.0362599 0.00726351 1 0.000393318 -0.000371051 -0.00027875 NaN  -78.2317 -58.9621 84.7899 NaN NaN NaN 9.36892 -3.6231 0.724301 -0.720947 0.400635 -0.246094 
4572 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 9.15188 -3.90411 0.195477 0.728524 1.3447 0.0208426 0.0518978 -0.0684337 -0.0669324 -0.718994 0.406982 -0.25415 0.0915051 -0.0390723 0.00197595 1 0.000259489 -0.000342168 -0.000334662 97429 -78.2534 -59.0121 84.8497 NaN NaN NaN 9.15188 -3.90411 0.195477 -0.718994 0.406982 -0.25415 
4573 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -51 8.57977 -4.29773 0.327885 0.619115 0.69697 -0.256463 0.0718727 -0.0469512 -0.0635354 -0.725098 0.404785 -0.254395 0.0857833 -0.0430058 0.00328354 1 0.000359364 -0.000234756 -0.000317677 NaN  -78.2438 -59.0532 84.8865 NaN NaN NaN 8.57977 -4.29773 0.327885 -0.725098 0.404785 -0.254395 
4574 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -50 8.2636 -4.36611 0.731146 0.212868 0.433908 -0.450472 0.0500873 -0.0378148 -0.058609 -0.723145 0.404785 -0.25 0.0826219 -0.0436872 0.00731614 1 0.000250437 -0.000189074 -0.000293045 97433 -78.2451 -59.1 84.9196 NaN NaN NaN 8.2636 -4.36611 0.731146 -0.723145 0.404785 -0.25 
4575 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -50 9.2257 -4.00757 1.20304 -0.261152 1.18144 0.245012 -0.0541115 -0.0770938 -0.130352 -0.729492 0.402588 -0.248047 0.0922262 -0.0401325 0.0120768 1 -0.000270558 -0.000385469 -0.000651758 NaN  -78.3231 -59.1821 84.9744 NaN NaN NaN 9.2257 -4.00757 1.20304 -0.729492 0.402588 -0.248047 
