



PackedCounter SampleTimeFine UTC_Nano UTC_Year UTC_Month UTC_Day UTC_Hour UTC_Minute UTC_Second UTC_Valid StatusWord RSSI Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z  VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Pressure Roll Pitch Yaw Latitude Longitude Altitude calibacc0 calibacc1 calibacc2 calimgf0 calimgf1 calimgf2 
4566 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -68 8.59853 -0.0873906 -5.87478 3.46945e-16 0 0.601506 -0.00921225 0.00470679 -0.085773 -0.614258 0.124268 0.536865 0.0859836 -0.000913488 -0.0587497 1 -4.60613e-05 2.3534e-05 -0.000428865 97468 -179.109 -55.6533 48.5884 NaN NaN NaN 8.59853 -0.0873906 -5.87478 -0.614258 0.124268 0.536865 
4567 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -68 9.48891 -0.0263111 -5.23087 -3.46945e-16 0 1.02254 -0.252615 0.124226 -0.0854999 -0.614014 0.122314 0.530273 0.0948564 -0.000369786 -0.0523672 0.999999 -0.00126307 0.000621131 -0.0004275 NaN  -179.595 -61.0977 34.0504 NaN NaN NaN 9.48891 -0.0263111 -5.23087 -0.614014 0.122314 0.530273 
4568 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -70 8.51712 -0.779017 -5.23702 -0.477364 0.54544 0.189768 -0.285648 0.180021 -0.064965 -0.615967 0.118164 0.532471 0.0851215 -0.00789268 -0.0524356 0.999999 -0.00142824 0.000900107 -0.000324825 97470 -179.517 -58.5316 39.7852 NaN NaN NaN 8.51712 -0.779017 -5.23702 -0.615967 0.118164 0.532471 
4569 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -69 7.91883 -1.23579 -5.45196 -1.17225 0.576475 -0.207872 -0.0319877 0.142802 -0.0645635 -0.620361 0.122314 0.530273 0.0791454 -0.0123922 -0.0545742 1 -0.000159939 0.000714008 -0.000322817 NaN  -179.594 -58.6137 39.8549 NaN NaN NaN 7.91883 -1.23579 -5.45196 -0.620361 0.122314 0.530273 
4570 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -68 8.12576 -0.86869 -5.72381 -1.03939 0.204612 0.108115 0.270845 0.124355 -0.0716302 -0.614014 0.118164 0.525879 0.0812188 -0.00863842 -0.0573003 0.999999 0.00135423 0.000621774 -0.000358151 97470 -179.505 -58.6854 39.9319 NaN NaN NaN 8.12576 -0.86869 -5.72381 -0.614014 0.118164 0.525879 
4571 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -67 8.03954 -0.184738 -5.6374 -0.580071 -0.313869 -0.0140311 0.281924 0.145352 -0.0912986 -0.615967 0.120117 0.530273 0.0803536 -0.00180455 -0.056435 0.999999 0.00140962 0.000726762 -0.000456493 NaN  -179.428 -58.7692 40.0312 NaN NaN NaN 8.03954 -0.184738 -5.6374 -0.615967 0.120117 0.530273 
4572 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -67 7.71127 -0.465439 -5.86456 -1.0498 -0.346001 -0.176732 0.0211332 0.129827 -0.11363 -0.615967 0.120117 0.525879 0.077072 -0.00469199 -0.0586961 1 0.000105666 0.000649133 -0.000568148 97473 -179.519 -58.8423 40.1529 NaN NaN NaN 7.71127 -0.465439 -5.86456 -0.615967 0.120117 0.525879 
4573 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -68 7.31782 -0.874558 -5.82673 -1.46366 -0.144591 -0.533521 -0.179414 0.136377 -0.0678086 -0.61792 0.116211 0.525879 0.0731355 -0.00882267 -0.0583093 0.999999 -0.000897068 0.000681886 -0.000339043 NaN  -179.685 -58.9207 40.227 NaN NaN NaN 7.31782 -0.874558 -5.82673 -0.61792 0.116211 0.525879 
4574 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -68 7.77919 -0.871531 -5.80845 -1.28154 0.0184356 -0.149836 -0.0214582 0.0996899 -0.0582799 -0.620117 0.116211 0.528076 0.0777604 -0.0087442 -0.0581223 1 -0.000107291 0.000498449 -0.000291399 97469 -179.744 -58.9707 40.2836 NaN NaN NaN 7.77919 -0.871531 -5.80845 -0.620117 0.116211 0.528076 
4575 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -72 9.51037 -0.0312294 -5.45682 0.16023 0.148896 1.14984 0.103187 0.142059 -0.126403 -0.61792 0.116211 0.530273 0.0950647 -0.000344208 -0.0546359 0.999999 0.000515936 0.000710293 -0.000632014 NaN  -179.805 -59.0524 40.4236 NaN NaN NaN 9.51037 -0.0312294 -5.45682 -0.61792 0.116211 0.530273 
