



PackedCounter SampleTimeFine UTC_Nano UTC_Year UTC_Month UTC_Day UTC_Hour UTC_Minute UTC_Second UTC_Valid StatusWord RSSI Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z  VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Pressure Roll Pitch Yaw Latitude Longitude Altitude calibacc0 calibacc1 calibacc2 calimgf0 calimgf1 calimgf2 
57712 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 -0.923199 21.0333 2.9203 -0.0671156 -16.8908 3.08825 -1.55713 -0.0104758 -2.88359 0.0600586 -0.634277 0.719971 -0.0061977 0.210656 0.0275633 0.999866 -0.00778531 -5.23767e-05 -0.0144173 97519 129.575 -20.3711 20.9357 NaN NaN NaN -0.923199 21.0333 2.9203 0.0600586 -0.634277 0.719971 
57713 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 1.40755 27.0448 5.26352 5.52425 -19.8102 8.57106 -2.16016 0.096189 -5.03267 0.0974121 -0.644043 0.700684 0.0209071 0.270527 0.0497044 0.999625 -0.0107995 0.000480885 -0.0251602 NaN  124.971 -16.3817 28.6454 NaN NaN NaN 1.40755 27.0448 5.26352 0.0974121 -0.644043 0.700684 
57714 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -58 -2.49743 16.1019 -6.35239 -4.0102 -6.56305 5.89066 -2.73741 0.410168 -6.76849 0.144775 -0.649658 0.689941 -0.0196611 0.160855 -0.0656826 0.999332 -0.013684 0.00205038 -0.0338349 97517 122.778 -13.2925 31.083 NaN NaN NaN -2.49743 16.1019 -6.35239 0.144775 -0.649658 0.689941 
57715 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -60 -7.43736 3.70265 -6.31127 -8.7205 -2.55493 -4.68884 -1.33651 -0.211845 -7.67927 0.195801 -0.643066 0.677246 -0.0728233 0.0394196 -0.0634485 0.99924 -0.00668086 -0.00105896 -0.0383866 NaN  118.008 -6.35423 41.8956 NaN NaN NaN -7.43736 3.70265 -6.31127 0.195801 -0.643066 0.677246 
57716 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -58 -6.93638 -7.82369 -0.44915 -7.41784 -1.3406 -17.0699 -1.4425 -1.26777 -6.43632 0.244873 -0.642334 0.664307 -0.0718055 -0.0759839 -0.00438805 0.999436 -0.00721113 -0.00633766 -0.0321755 97515 117.097 -2.74865 42.9606 NaN NaN NaN -6.93638 -7.82369 -0.44915 0.244873 -0.642334 0.664307 
57717 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -57 7.28596 -17.5111 2.11355 0.169887 8.65695 -26.8176 -0.625043 -1.96839 -3.85607 0.27124 -0.635986 0.662354 0.0692504 -0.176401 0.0223789 0.999761 -0.00312497 -0.00984118 -0.0192788 NaN  114.654 3.09198 49.9319 NaN NaN NaN 7.28596 -17.5111 2.11355 0.27124 -0.635986 0.662354 
57718 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 20.286 -30.0984 -1.47536 1.42606 23.3757 -37.5823 0.798241 -0.548273 -0.0845489 0.272949 -0.62793 0.668701 0.202774 -0.301009 -0.015399 0.999988 0.00399119 -0.00274135 -0.000422743 97516 115.096 3.26807 49.6669 NaN NaN NaN 20.286 -30.0984 -1.47536 0.272949 -0.62793 0.668701 
57719 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -58 13.1071 -34.9851 -26.4657 -22.6217 34.5235 -29.6089 5.7943 -0.238225 2.33424 0.252441 -0.577637 0.720215 0.135405 -0.340429 -0.274452 0.999512 0.0289668 -0.00119093 0.0116693 NaN  118.664 2.42903 49.8944 NaN NaN NaN 13.1071 -34.9851 -26.4657 0.252441 -0.577637 0.720215 
57720 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -63 -1.21866 -14.1722 -47.0991 -36.1342 30.6309 3.35208 12.622 -2.67322 2.86597 0.267334 -0.488281 0.782959 -0.00407348 -0.111753 -0.478769 0.997817 0.063064 -0.0133564 0.0143194 97516 125.815 1.8575 47.7228 NaN NaN NaN -1.21866 -14.1722 -47.0991 0.267334 -0.488281 0.782959 
57721 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -68 7.09002 4.95446 -50.8648 -15.5899 30.1373 28.9972 13.0211 -5.40531 2.87878 0.293945 -0.390625 0.828613 0.0834918 0.0835239 -0.5018 0.997413 0.0650492 -0.0270032 0.0143815 NaN  137.671 0.776816 38.0074 NaN NaN NaN 7.09002 4.95446 -50.8648 0.293945 -0.390625 0.828613 
57722 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -72 10.6952 26.4384 -35.6324 8.03084 8.45842 34.2838 11.6679 -2.53556 1.40046 0.304688 -0.307373 0.854736 0.109372 0.285255 -0.338705 0.998194 0.0583043 -0.0126702 0.00699807 97515 144.327 1.40051 36.4702 NaN NaN NaN 10.6952 26.4384 -35.6324 0.304688 -0.307373 0.854736 
57723 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -68 -11.7884 45.3536 -23.5862 1.8375 -31.0663 32.407 7.82782 -1.44277 0.356292 0.322998 -0.252441 0.865967 -0.117083 0.462112 -0.21873 0.999207 0.0391288 -0.00721195 0.00178099 NaN  153.921 0.0821632 25.7197 NaN NaN NaN -11.7884 45.3536 -23.5862 0.322998 -0.252441 0.865967 
57724 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -60 -14.7234 50.6273 4.55269 7.87826 -49.2305 7.92887 2.30506 -0.727938 -1.77202 0.328613 -0.236084 0.872559 -0.142922 0.506987 0.0508421 0.999888 0.0115249 -0.00363955 -0.00885975 97520 155.248 0.894606 26.4578 NaN NaN NaN -14.7234 50.6273 4.55269 0.328613 -0.236084 0.872559 
57725 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -59 19.6095 23.7871 31.2934 33.6942 -21.0329 -28.5718 -0.567666 0.140104 -2.77151 0.32666 -0.242188 0.866211 0.199593 0.236008 0.312123 0.9999 -0.00283824 0.000700496 -0.0138571 NaN  154.425 2.44362 30.3106 NaN NaN NaN 19.6095 23.7871 31.2934 0.32666 -0.242188 0.866211 
57726 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -59 22.2008 -3.12297 23.8105 22.482 4.45586 -33.1396 -2.43492 3.73417 -0.545402 0.288818 -0.264893 0.878662 0.226325 -0.0289752 0.234268 0.999748 -0.0121736 0.0186693 -0.00272678 97530 153.063 0.663063 31.5377 NaN NaN NaN 22.2008 -3.12297 23.8105 0.288818 -0.264893 0.878662 
57727 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -55 -3.54521 -24.0723 4.79044 -13.4947 13.7598 -25.4175 -1.07834 3.86715 1.85928 0.258057 -0.267334 0.887207 -0.0322625 -0.240768 0.0498469 0.999755 -0.00539125 0.0193342 0.00929563 NaN  151.457 -1.191 33.8726 NaN NaN NaN -3.54521 -24.0723 4.79044 0.258057 -0.267334 0.887207 
57728 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -55 1.80144 -28.0475 -4.67461 -13.0881 23.7244 -18.6157 3.06572 1.91494 2.99287 0.232178 -0.237305 0.898193 0.0217248 -0.279406 -0.0512309 0.999725 0.0153272 0.00957383 0.014963 97522 153.25 -2.95859 32.8621 NaN NaN NaN 1.80144 -28.0475 -4.67461 0.232178 -0.237305 0.898193 
57729 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -57 6.68382 -16.3895 -5.07068 -2.75519 18.1237 -11.4965 5.3526 0.595215 3.09854 0.222412 -0.19873 0.913574 0.0691919 -0.161397 -0.0552526 0.999517 0.0267587 0.00297559 0.0154902 NaN  157.256 -4.3142 29.7024 NaN NaN NaN 6.68382 -16.3895 -5.07068 0.222412 -0.19873 0.913574 
57730 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 33.8406 4.54208 -20.5971 26.4092 18.3053 13.7916 5.57337 0.730333 2.71153 0.202393 -0.158447 0.924561 0.336945 0.0557323 -0.205746 0.999513 0.0278623 0.00365107 0.0135555 97518 160.558 -5.26365 28.3992 NaN NaN NaN 33.8406 4.54208 -20.5971 0.202393 -0.158447 0.924561 
57731 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 1.80436 25.2217 -15.2982 6.62047 -18.7929 12.0029 4.37516 2.21022 6.84732 0.174561 -0.130371 0.93335 0.00767272 0.255866 -0.147534 0.999114 0.0218693 0.0110479 0.0342265 NaN  165.172 -8.51916 20.5715 NaN NaN NaN 1.80436 25.2217 -15.2982 0.174561 -0.130371 0.93335 
57732 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 -5.38897 12.8638 -14.1565 -4.51214 -11.3079 5.89125 3.8409 0.849045 5.13779 0.157227 -0.110352 0.939941 -0.057809 0.12987 -0.138838 0.999477 0.0192011 0.00424448 0.0256844 97524 167.814 -9.67991 17.7879 NaN NaN NaN -5.38897 12.8638 -14.1565 0.157227 -0.110352 0.939941 
57733 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -53 -5.65876 16.8621 -14.5662 -4.67192 -15.6387 6.37612 1.64426 2.3281 2.01971 0.130371 -0.106445 0.946289 -0.059974 0.169213 -0.143587 0.999847 0.00822091 0.0116399 0.0100981 NaN  169.404 -11.5124 15.6784 NaN NaN NaN -5.65876 16.8621 -14.5662 0.130371 -0.106445 0.946289 
57734 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -53 -4.98246 15.8308 -14.3652 -4.67772 -14.7362 5.76748 -0.196348 3.34968 -0.208865 0.0996094 -0.104736 0.942139 -0.0520575 0.158221 -0.142947 0.999859 -0.000981691 0.0167476 -0.00104427 97518 169.187 -13.376 16.1638 NaN NaN NaN -4.98246 15.8308 -14.3652 0.0996094 -0.104736 0.942139 
57735 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -53 -5.43263 15.0883 -15.6204 -5.8183 -14.018 6.64334 -1.60916 3.60977 -1.73459 0.0654297 -0.121338 0.948486 -0.0558441 0.150105 -0.156415 0.999767 -0.00804516 0.0180475 -0.00867229 NaN  167.51 -15.3016 18.566 NaN NaN NaN -5.43263 15.0883 -15.6204 0.0654297 -0.121338 0.948486 
57736 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 -5.66068 19.4523 -17.8971 -5.85962 -17.7989 9.67069 -1.83198 2.85486 -2.42172 0.0498047 -0.135742 0.948242 -0.056823 0.193565 -0.179937 0.999783 -0.00915925 0.0142733 -0.0121077 97518 165.967 -16.5755 20.3607 NaN NaN NaN -5.66068 19.4523 -17.8971 0.0498047 -0.135742 0.948242 
57737 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 -6.28223 22.4801 -21.2665 -5.85985 -19.9197 13.9768 -1.72608 1.24557 -2.27328 0.0424805 -0.158203 0.94165 -0.0616066 0.223662 -0.214213 0.999879 -0.00863005 0.00622761 -0.011366 NaN  163.439 -16.3629 24.7535 NaN NaN NaN -6.28223 22.4801 -21.2665 0.0424805 -0.158203 0.94165 
57738 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 -6.26948 23.9332 -22.6301 -5.77417 -20.5156 16.0702 -2.30184 -0.485565 -1.95249 0.0576172 -0.178223 0.939453 -0.0598174 0.237299 -0.229187 0.999883 -0.0115088 -0.00242773 -0.00976209 97517 161.837 -15.7636 25.7781 NaN NaN NaN -6.26948 23.9332 -22.6301 0.0576172 -0.178223 0.939453 
57739 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -53 -4.27088 21.1758 -19.2082 -2.12835 -16.4047 13.8911 -2.84519 -1.79275 -1.62609 0.0810547 -0.200195 0.930664 -0.0392584 0.209322 -0.195434 0.999826 -0.0142251 -0.00896321 -0.00812997 NaN  158.431 -13.1165 30.9463 NaN NaN NaN -4.27088 21.1758 -19.2082 0.0810547 -0.200195 0.930664 
57740 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -53 -2.5674 18.6453 -14.5165 0.157837 -13.5537 9.71046 -2.92809 -2.89804 -1.38685 0.113037 -0.230469 0.923828 -0.0222572 0.18446 -0.148214 0.999764 -0.0146393 -0.0144891 -0.00693371 97516 156.731 -11.2786 31.0499 NaN NaN NaN -2.5674 18.6453 -14.5165 0.113037 -0.230469 0.923828 
57741 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 -0.695964 15.6799 -8.48545 4.09059 -9.95202 4.41763 -3.6615 -3.74202 -1.99179 0.157227 -0.258301 0.908691 -0.0037837 0.155258 -0.0877972 0.999608 -0.0183051 -0.0187077 -0.00995765 NaN  153.097 -6.85426 37.019 NaN NaN NaN -0.695964 15.6799 -8.48545 0.157227 -0.258301 0.908691 
57742 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 -1.70899 14.0866 -8.67663 2.56633 -8.33641 4.34345 -6.29766 -3.39929 -4.26409 0.190918 -0.326904 0.874023 -0.0125945 0.138337 -0.0913893 0.999133 -0.0314792 -0.0169915 -0.0213143 97521 149.373 -3.97161 38.2284 NaN NaN NaN -1.70899 14.0866 -8.67663 0.190918 -0.326904 0.874023 
57743 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -57 -0.365106 1.51183 -10.189 -3.64995 2.96104 -0.64683 -12.2782 -0.726709 -6.13074 0.217041 -0.415771 0.830566 -0.00294186 0.00892925 -0.102576 0.99764 -0.0613428 -0.00363069 -0.0306296 NaN  140.986 1.17203 47.6162 NaN NaN NaN -0.365106 1.51183 -10.189 0.217041 -0.415771 0.830566 
57744 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 5.73058 -15.2625 -23.0485 -16.1631 22.0507 -2.8184 -8.13503 -0.218136 -6.34238 0.25708 -0.44165 0.806641 0.0524801 -0.163541 -0.22392 0.99867 -0.0406571 -0.0010902 -0.0316978 97517 136.434 3.66366 50.2655 NaN NaN NaN 5.73058 -15.2625 -23.0485 0.25708 -0.44165 0.806641 
57745 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -55 5.206 -9.51892 -3.98633 -5.20471 9.34576 -14.1868 -2.25613 -0.950143 -5.56052 0.279785 -0.44751 0.793945 0.0495643 -0.0970302 -0.0385361 0.999539 -0.0112789 -0.00474999 -0.0277983 NaN  135.077 7.80502 56.37 NaN NaN NaN 5.206 -9.51892 -3.98633 0.279785 -0.44751 0.793945 
57746 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 7.35601 -13.2383 1.62267 -3.78405 9.19642 -21.3482 -1.40181 -0.55178 -4.12285 0.304199 -0.439209 0.791748 0.0707655 -0.133742 0.0173588 0.999759 -0.00700847 -0.00275868 -0.0206126 97523 134.495 9.70446 57.8266 NaN NaN NaN 7.35601 -13.2383 1.62267 0.304199 -0.439209 0.791748 
57747 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 11.1348 -18.1942 4.24078 -4.2545 12.0634 -27.4012 0.833762 -1.61114 -1.41663 0.320068 -0.430908 0.791992 0.109712 -0.1829 0.0425348 0.999934 0.00416872 -0.00805555 -0.00708298 NaN  135.028 10.5998 59.3074 NaN NaN NaN 11.1348 -18.1942 4.24078 0.320068 -0.430908 0.791992 
57748 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -58 9.81188 -20.7972 -4.75573 -11.6315 15.8357 -22.6715 0.932077 -0.257896 0.929836 0.307861 -0.430908 0.79834 0.0991456 -0.207289 -0.048397 0.999978 0.00466035 -0.00128947 0.00464915 97518 135.473 10.3297 58.8168 NaN NaN NaN 9.81188 -20.7972 -4.75573 0.307861 -0.430908 0.79834 
57749 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 -0.661355 -16.0451 -21.4684 -22.4583 13.94 -5.33931 3.0731 0.100459 2.25311 0.302734 -0.402588 0.811279 -0.00493906 -0.15719 -0.217113 0.999818 0.0153646 0.000502265 0.0112649 NaN  137.084 8.84343 57.8513 NaN NaN NaN -0.661355 -16.0451 -21.4684 0.302734 -0.402588 0.811279 
57750 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -60 -5.65285 -2.20666 -28.2739 -18.477 8.89222 10.5724 5.91259 -1.54366 2.8722 0.307129 -0.362061 0.835205 -0.0540969 -0.0144773 -0.283666 0.99943 0.0295573 -0.00771684 0.0143583 97516 140.196 8.41993 56.0111 NaN NaN NaN -5.65285 -2.20666 -28.2739 0.307129 -0.362061 0.835205 
57751 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -65 1.65013 12.2771 -24.0713 -0.983613 7.28002 16.2366 7.17943 -2.79248 1.91227 0.322998 -0.303223 0.848389 0.018588 0.131468 -0.235847 0.999213 0.0358877 -0.0139587 0.00955885 NaN  144.413 8.60346 54.7674 NaN NaN NaN 1.65013 12.2771 -24.0713 0.322998 -0.303223 0.848389 
57752 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -72 7.91936 28.4167 -16.3773 19.0468 1.66276 17.9804 6.66049 -1.61638 -0.0231814 0.335205 -0.252197 0.857422 0.0804956 0.289386 -0.153545 0.999413 0.0332959 -0.0080803 -0.000115884 97522 148.15 9.38101 54.2582 NaN NaN NaN 7.91936 28.4167 -16.3773 0.335205 -0.252197 0.857422 
57753 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -63 5.23979 31.3602 -2.75722 25.6663 -7.83968 7.4558 3.25791 0.104673 -1.1675 0.328369 -0.234131 0.868408 0.0542162 0.313683 -0.0224908 0.99985 0.0162888 0.00052334 -0.00583722 NaN  150.353 9.39424 55.707 NaN NaN NaN 5.23979 31.3602 -2.75722 0.328369 -0.234131 0.868408 
57754 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -60 0.474292 19.4046 3.17849 16.2108 -8.96934 -3.2082 0.426879 0.933356 -1.3715 0.328125 -0.226074 0.868408 0.00622265 0.193939 0.0321722 0.999963 0.00213437 0.00466672 -0.00685743 97516 150.754 9.31481 56.667 NaN NaN NaN 0.474292 19.4046 3.17849 0.328125 -0.226074 0.868408 
57755 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -57 -2.84705 7.56467 0.37661 4.32668 -5.70615 -6.04564 0.0198039 0.933063 -1.17681 0.325928 -0.221924 0.874756 -0.0280068 0.075812 0.00390499 0.999972 9.90183e-05 0.00466527 -0.00588402 NaN  150.871 8.95774 56.2029 NaN NaN NaN -2.84705 7.56467 0.37661 0.325928 -0.221924 0.874756 
57756 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -59 1.06577 -1.41879 -0.241911 -0.586957 1.56861 -10.4469 -0.00489461 1.11001 -0.0740215 0.315674 -0.224121 0.874756 0.0106388 -0.0141919 -0.00247785 0.999985 -2.44729e-05 0.00555002 -0.000370106 97518 150.921 8.42255 56.5534 NaN NaN NaN 1.06577 -1.41879 -0.241911 0.315674 -0.224121 0.874756 
57757 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -57 4.7691 -9.38278 2.88638 -3.56018 6.8967 -17.4854 -0.145069 1.80784 1.16988 0.29126 -0.228516 0.883301 0.0484973 -0.093525 0.0284957 0.999942 -0.00072533 0.00903901 0.0058493 NaN  150.832 7.23636 56.2055 NaN NaN NaN 4.7691 -9.38278 2.88638 0.29126 -0.228516 0.883301 
57758 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 4.42664 -15.0889 3.98178 -7.56017 8.9289 -21.048 0.598816 1.77756 1.90142 0.270752 -0.224609 0.889648 0.0460478 -0.150575 0.0389626 0.999911 0.00299399 0.00888756 0.0095068 97530 151.123 5.81706 55.7441 NaN NaN NaN 4.42664 -15.0889 3.98178 0.270752 -0.224609 0.889648 
